image,status,line_count,average_confidence,text,json_path,visualized_path,error
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\1.jpg,ok,13,0.83692,国养准学820129501 | 请得细构读域提略书苦检该增书使用或在政师指导下药实和使用 | 增牛 | 麻苏止咳颗粒 | 宣肺止咳 | 理气化痰 | 头锡无汗 | [功菌主油] | 疏风散热 | 鼻高声重 | 感寒发热 | 15克X6袋/盒 | 广西中亚美际制药有限公司,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\1.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\1.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\2.jpg,ok,6,0.95792,朗致 | 舒血宁注射液 | SHUXUENING ZHUSHEYE | 政准文号：国药准穿Z14021871 | 朗致集团万荣药业有限公司 | 2ml×10支,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\2.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\2.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\3.jpg,ok,8,0.96141,美罗 | 蓝花药 | LANHUAYAO | 【功能主治】 | 清热解毒，消痘，用于急慢性扁桃腺炎，齿缩红肿。 | 项吸疼痛，小儿瘤症。 | 50粒/支×6支/盒 | 大连美罗中药厂有限公司,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\3.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\3.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\4.jpg,ok,10,0.9456,国药准字Z45020067 | OTC | 益母草颗粒 | 金鸡 | 活血调经 | 用于血瘀所致的 | 月经不调 | 症见经水量少 | 10袋 | BANGOI,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\4.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\4.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\5.jpg,ok,11,0.98907,白云山 | 金戈 | BYS | 枸橼酸西地那非片 | Sildenafil Citrate Tablets | BYS | 治疗勃起功能障碍 | 50mg 20片/盒 | 广州白云山医药集团股份有限公司 | 白云山制药总厂 | 广药白云山,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\5.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\5.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\6.jpg,ok,11,0.99051,坤康 | 请仔细闻读说明书并按说明使用或在药师指导下购买和使用 | OTC | 小儿咳喘灵颗粒 | 国药准字Z41021530 | Xiao'er kechuanling keli | 功能主治： | 宣肺、清热，止咳、祛痰。 | 用于上呼吸道感染引起的咳嗽。 | 2gx10袋 | 商丘市金马药业有限公司,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\6.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\6.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\7.jpg,ok,7,0.9816,"清咽片 | OTC | 国药准字Z12020018 | QingYanPian | 0.25克x20x2 | 天津同仁堂集团股份有限公司 | TIANJIN TONGRENTANG GROUP CO.,LTD.",C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\7.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\7.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\8.jpg,ok,8,0.93012,仲景 | 请仔细阅读说明书并按说明使用或在药师指导下购买和使用 | OTC | 生脉饮(党参方) | Shengmaiyin | 10毫升×10支 | 党参 | 仲景宛西制药股份有限公司,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\8.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\8.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\9.jpg,ok,10,0.94518,石药 | 阿莫西林颗粒 | 0.25g×12袋 | 有效期36个月 | 用于敏感重（不产-内酰缠酶菌核）所致呼吸道感染 | 伤寒及尿路感染等 | 石药集团 | 中诺药业(石家庄)有限公司 | CSP | 0.25（大含量）,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\9.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\9.jpg,
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\10.jpg,ok,11,0.99815,请仔细阅读说明书并按说明使用或在药师指导下购买和使用 | OTC | 益馨康 | 国药准字Z22025954 | 天麻胶囊 | Tianma Jiaonang | 功能主治：祛风除湿，舒筋通络，活血止痛。 | 用于肢体拘挛，手足麻木，腰腿酸痛。 | 吉林省七星山药业有限公司 | JILINSHENGQIXINGSHANYAOYEYOUXIANGONGSI | 10粒×5板,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\10.json,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\visualized\10.jpg,
