decision,confirmed_name,confirmed_category_id,confirmed_category_name,sample_id,candidate_name,alternative_names,name_score,name_ocr_confidence,dataset_label_ids,dataset_label_names,ocr_suggested_id,ocr_suggested_name,ocr_suggested_score,review_status,evidence,image,review_image,ocr_json,ocr_text
,项吸疼痛，小儿瘤症,2,消炎药,3,项吸疼痛，小儿瘤症,蓝花药 | 清热解毒，消痘，用于急慢性扁桃腺炎，齿缩红肿,5.176,0.79397,2,消炎药,,,2,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\3.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\3.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\3.json,美罗 | 蓝花药 | LANHUAYAO | 【功能主治】 | 清热解毒，消痘，用于急慢性扁桃腺炎，齿缩红肿。 | 项吸疼痛，小儿瘤症。 | 50粒/支×6支/盒 | 大连美罗中药厂有限公司
,清咽片,1,止咳化痰,7,清咽片,,9.992,0.99797,1,止咳化痰,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\7.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\7.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\7.json,"清咽片 | OTC | 国药准字Z12020018 | QingYanPian | 0.25克x20x2 | 天津同仁堂集团股份有限公司 | TIANJIN TONGRENTANG GROUP CO.,LTD."
,,17,其它,15,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\15.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\15.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\15.json,HA | KUS
,腔抑菌剂,9,外用药,19,腔抑菌剂,,6.0,1.0,9,外用药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\19.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\19.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\19.json,腔抑菌剂 | wang vi bon 3 | ·ASOE |  arnbacterial agent
,是腹泻、头痛、恶心、腹痛、胃肠胀气及便秘,5,肠胃药,22,是腹泻、头痛、恶心、腹痛、胃肠胀气及便秘,婴幼儿禁用 | 贮藏】遮光，密封，在干燥处保存(10-25℃,5.999,0.99969,5,肠胃药,,,8,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\22.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\22.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\22.json,HK | R | 14粒/瓶/盒 | 【不良反应】本品耐受性良好，常见不良反应 | 是腹泻、头痛、恶心、腹痛、胃肠胀气及便秘。 | 详见说明书。 | 【禁忌】对本品过敏者、严重肾功能不全者及 | 婴幼儿禁用。 | 【注意事项】治疗胃溃疡时，应首先排除溃疡 | 型胃癌的可能，因用本品治疗可减轻其症状， | 从而延误治疗。详见说明书。 | 【贮藏】遮光，密封，在干燥处保存(10-25℃)。 | 【包装】聚塑瓶包装(带干燥剂)，14粒/瓶/盒。 | 【批准文号】国药准字H10920092 | 61938917200753
reject,,,,27,眠之茶,晶灵之家S.E度乳腺调理灸 | 晶灵之家,9.097,0.77427,14,妇科用药,,,0,curated_rejected,人工数据库复核：药浴和包装设计素材，不是可确认的药品包装。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\27.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\27.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\27.json,A | 晶灵之家 | 眠之茶 | 人 | 晶灵之家S.E度乳腺调理灸
,,17,其它,34,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\34.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\34.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\34.json,RAZINE | CARIP
approve,痔疮栓,15,肛肠用药,36,状本品为黑褐色鱼雷形栓剂,,11.986,0.99652,9,外用药,6,泻药通便,8,curated_approved,人工数据库复核：原图适应症明确为内痔、混合痔，既有人工修正也确认属于肛肠用药。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\36.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\36.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\36.json,HEMORRHOID SUPPOSITORIES | [成 | 份]柿蒂、大黄、冰片、芒硝、田螺壳（炒)、橄榄核(炒炭)、辅料为：半合成脂防酸甘油酯(38)型。 | I性 | 状本品为黑褐色鱼雷形栓剂。 | [功能主治]清热通便，止血，消肿止痛，收敛圆脱。用于内痔，混合痔之内痔部分，轻度脱循等。 | [规格]每粒重2克（含芒硝46毫克） | [用法用量]直肠给药，一次1粒、一日2~3次，使用前可以花椒水或温开水坐浴，七天为一疗程或道医嘱。
,抗癌性，免疫调节,17,其它,37,抗癌性，免疫调节,阶于推疗乙型折炎 | 贵道格和神糖衰鸦,5.576,0.89412,17,其它,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\37.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\37.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\37.json,当级 | 鲜级 | TREE TONGUE | MICROPOWDER | [树舌] | 超微粉 | 阶于推疗乙型折炎。 | 抗癌性，免疫调节 | 克/袋×9袋 | 山东济南三源药业有限公司 | SHAOONG JNN SAUN MEDIONE CO.LTO | 贵道格和神糖衰鸦。 | 树舌
,穿心莲片,0,感冒药,38,穿心莲片,清热解毒，凉血消肿 | 指纹图谱,11.999,0.99964,0,感冒药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\38.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\38.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\38.json,正品 | 白云山 | 穿心莲片 | 清热解毒，凉血消肿 | 白云山 | OTC | BYS | 指纹图谱 | 穿心莲片 | 穿心莲片 | (小片) | (小片) | [22》，对于心[商效颗]案 | 日t5，世收护成、[生产自期] | [产品照号] | 注，一83-4次。 | 每月区80月 | 广州白云山南记黄浦中药有武公司
